r2
Best parameters set found on development set:
{'epsilon': 0.1, 'C': 1000, 'gamma': 0.001}

Grid scores on development set:
-0.479 (+/-0.030) for {'epsilon': 10, 'C': 1000, 'gamma': 1}
-0.479 (+/-0.030) for {'epsilon': 10, 'C': 1000, 'gamma': 0.1}
-0.479 (+/-0.030) for {'epsilon': 10, 'C': 1000, 'gamma': 0.01}
-0.479 (+/-0.030) for {'epsilon': 10, 'C': 1000, 'gamma': 0.001}
-0.479 (+/-0.030) for {'epsilon': 10, 'C': 1000, 'gamma': 0.0001}
-0.425 (+/-0.014) for {'epsilon': 1, 'C': 1000, 'gamma': 1}
-0.447 (+/-0.023) for {'epsilon': 1, 'C': 1000, 'gamma': 0.1}
-0.431 (+/-0.028) for {'epsilon': 1, 'C': 1000, 'gamma': 0.01}
-0.414 (+/-0.021) for {'epsilon': 1, 'C': 1000, 'gamma': 0.001}
-0.417 (+/-0.018) for {'epsilon': 1, 'C': 1000, 'gamma': 0.0001}
-0.518 (+/-0.026) for {'epsilon': 0.1, 'C': 1000, 'gamma': 1}
-0.514 (+/-0.031) for {'epsilon': 0.1, 'C': 1000, 'gamma': 0.1}
-0.421 (+/-0.029) for {'epsilon': 0.1, 'C': 1000, 'gamma': 0.01}
-0.407 (+/-0.028) for {'epsilon': 0.1, 'C': 1000, 'gamma': 0.001}
-0.409 (+/-0.021) for {'epsilon': 0.1, 'C': 1000, 'gamma': 0.0001}
-0.543 (+/-0.032) for {'epsilon': 0.01, 'C': 1000, 'gamma': 1}
-0.529 (+/-0.030) for {'epsilon': 0.01, 'C': 1000, 'gamma': 0.1}
-0.425 (+/-0.027) for {'epsilon': 0.01, 'C': 1000, 'gamma': 0.01}
-0.408 (+/-0.027) for {'epsilon': 0.01, 'C': 1000, 'gamma': 0.001}
-0.410 (+/-0.022) for {'epsilon': 0.01, 'C': 1000, 'gamma': 0.0001}
-0.546 (+/-0.033) for {'epsilon': 0.001, 'C': 1000, 'gamma': 1}
-0.530 (+/-0.029) for {'epsilon': 0.001, 'C': 1000, 'gamma': 0.1}
-0.425 (+/-0.027) for {'epsilon': 0.001, 'C': 1000, 'gamma': 0.01}
-0.408 (+/-0.026) for {'epsilon': 0.001, 'C': 1000, 'gamma': 0.001}
-0.410 (+/-0.022) for {'epsilon': 0.001, 'C': 1000, 'gamma': 0.0001}

=============================
